Symbol,Day1,Day2,Day3,Day4,Day5
AAPL,-1,-1,-1,-1,-1
GOOGL,1,1,1,1,1
INTC,0,0,-1,-1,1
FB,1,1,1,1,1
TSLA,-1,-1,1,-1,-1
NFLX,1,1,1,1,1
YHOO,0,0,1,1,1
AMZN,1,1,1,1,1
MSFT,-1,-1,-1,-1,1
